strategy,metric,n_pairs,baseline_mean,strategy_mean,mean_diff,cohens_d,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,significant_at_alpha
static,semantic_diversity,6,0.5746292772436737,0.5964376648536787,0.021808387610004882,1.1391798916941789,2.790409459889743,0.038426286939150234,0.0,0.03125,True
static,embedding_dispersion,6,0.723055292754855,0.7391384626191585,0.01608316986430347,1.4328789817536576,3.5098223684551897,0.017103909916566237,0.0,0.03125,True
static,lexical_diversity,6,0.2012590935440677,0.21177631305721928,0.01051721951315158,0.19555200043811535,0.4790026192538951,0.6521516194481638,7.0,0.5625,False
static,novelty_score,6,0.8387231398903204,0.8392718471058642,0.0005487072155438422,0.028468705388403008,0.06973380183920937,0.9471085947239373,10.0,1.0,False
fixed_interval,semantic_diversity,6,0.5746292772436737,0.593036533736525,0.018407256492851243,1.168420365659081,2.8620337009408896,0.03532228150805299,1.0,0.0625,True
fixed_interval,embedding_dispersion,6,0.723055292754855,0.7312775052033478,0.00822221244849275,0.7613155187719691,1.8648345542535927,0.12121534891308709,3.0,0.15625,False
fixed_interval,lexical_diversity,6,0.2012590935440677,0.19361976645308349,-0.007639327090984224,-0.2921946966146427,-0.71572791225321,0.5061828854786505,6.0,0.4375,False
fixed_interval,novelty_score,6,0.8387231398903204,0.8497786678911317,0.011055528000811202,0.729810585898235,1.7876635443323081,0.1338671667365999,4.0,0.21875,False
user_triggered,semantic_diversity,6,0.5746292772436737,0.5959374732368254,0.021308195993151664,1.3738131625570167,3.3651412501839317,0.019995390687298213,1.0,0.0625,True
user_triggered,embedding_dispersion,6,0.723055292754855,0.7340239911481866,0.010968698393331644,1.279786086712664,3.1348228923592933,0.025816591549805833,1.0,0.0625,True
user_triggered,lexical_diversity,6,0.2012590935440677,0.21175594161183794,0.010496848067770228,0.3734405087221106,0.9147386956545418,0.40228812805642017,7.0,0.5625,False
user_triggered,novelty_score,6,0.8387231398903204,0.8558215568871318,0.017098416996811416,1.125557242165923,2.75704091960075,0.03997474087076237,1.0,0.0625,True
adaptive,semantic_diversity,6,0.5746292772436737,0.6483048428419239,0.07367556559825016,2.327231244175518,5.700529061692466,0.0023186409812862305,0.0,0.03125,True
adaptive,embedding_dispersion,6,0.723055292754855,0.7643988475558935,0.04134355480103854,1.8856346374707125,4.618842703121187,0.005741422429805468,0.0,0.03125,True
adaptive,lexical_diversity,6,0.2012590935440677,0.31213843855065954,0.11087934500659181,1.2748660073278248,3.122771208372451,0.026170162904197217,1.0,0.0625,True
adaptive,novelty_score,6,0.8387231398903204,0.8851857649336764,0.046462625043356,2.0072292373020946,4.916687428185982,0.004410141948934185,0.0,0.03125,True
